Rang,Name,Hauptsitz,Land,Umsatz(Mrd. $),Gewinn(Mrd. $),Mitarbeiter,Branche,Geschäftsführer
62.,China Mobile,Peking,China Volksrepublik Volksrepublik China,"139,597","14,718",452.202,Telekommunikation,Dong Xin
63.,China Communications Construction,Peking,China Volksrepublik Volksrepublik China,"138,270","1,255",221.017,Bauhauptgewerbe,Liu Qitao
64.,Verizon,New York,Vereinigte Staaten USA,"136,835","21,256",117.100,Telekommunikation,Hans Vestberg
65.,China Minmetals,Peking,China Volksrepublik Volksrepublik China,"133,541","0,877",183.298,Bergbau,Tang Fuping
66.,Walgreens Boots Alliance,Deerfield,Vereinigte Staaten USA,"132,703","4,337",262.500,Pharmahandel,Stefano Pessina
67.,Allianz,München,Deutschland Deutschland,"129,059","7,087",159.253,Versicherungen,Oliver Bäte
68.,Alibaba Group,Hangzhou,China Volksrepublik Volksrepublik China,"129,059","10,625",235.216,Onlinehandel,Daniel Zhang
69.,Xiamen C & D,Xiamen,China Volksrepublik Volksrepublik China,"125,971","0,454",40.959,Logistik,
70.,Honda Motor,Tokio,Japan Japan,"124,912","4,813",197.039,Automobile und Motoren,Takahiro Hachigo
71.,Petrobras,Rio de Janeiro,Brasilien Brasilien,"124,474","36,623",45.149,Öl und Gas,Joaquim Silva e Luna
72.,Shandong Energy Group,Jinan,China Volksrepublik Volksrepublik China,"124,089","0,033",232.841,Kohle,Michael F. Neidorff
73.,E.ON,Essen,Deutschland Deutschland,"121,646","1,926",69.378,Energieversorger,Leonhard Birnbaum
74.,China Resources,Hongkong,China Volksrepublik Volksrepublik China,"121,643","4,662",379.944,Mischkonzern,Chen Xinhua
75.,Fannie Mae,"Washington, D.C.",Vereinigte Staaten USA,"121,596","12,923",8.000,Banken,Hugh R. Frater
76.,China Energy Investment,Peking,China Volksrepublik Volksrepublik China,"121,427","5,699",310.753,Energie,Qiao Baoping
77.,Comcast,Tupelo,Vereinigte Staaten USA,"121,427","5,370",186.000,Telekommunikation,Brian L. Roberts
78.,AT&T,Dallas,Vereinigte Staaten USA,"120,741","−8,524",160.700,Telekommunikation,John T. Stankey
79.,Deutsche Telekom,Bonn,Deutschland Deutschland,"120,108","8,415",206.759,Telekommunikation,Timotheus Höttges
80.,PEMEX,Mexiko-Stadt,Mexiko Mexiko,"118,537","4,994",120.054,Öl und Gas,Octavio Romero Oropeza
81.,Meta Platforms,Menlo Park,Vereinigte Staaten USA,"116,609","23,200",86.482,Technologie,Mark Zuckerberg
82.,Bank of America,Charlotte,Vereinigte Staaten USA,"115,053","27,528",216.823,Banken,Brian Moynihan
83.,China Southern Power Grid,Guangzhou,China Volksrepublik Volksrepublik China,"113,674","1,516",271.202,Energieversorgung,Yuan Maozhen
84.,SAIC Motor,Shanghai,China Volksrepublik Volksrepublik China,"110,612","2,396",154.863,Automobile,Wang Xiaoqiu
85.,Hyundai Motor,Seoul,Korea Sud Südkorea,"110,412","5,705",72.689,Automobile,Won Hee Lee
86.,China Post,Peking,China Volksrepublik Volksrepublik China,"110,271","4,897",752.547,Logistik,Liu Aili
87.,COFCO,Peking,China Volksrepublik Volksrepublik China,"110,222","1,766",103.537,Lebensmittel,Chi Jingtao
88.,Reliance Industries,Mumbai,Indien Indien,"109,523","8,307",376.000,Mischkonzern,Mukesh Ambani
89.,Engie,Courbevoie,Frankreich Frankreich,"109,175","0,227",96.454,Energieversorger,Catherine MacGregor
90.,Target Corporation,Minneapolis,Vereinigte Staaten USA,"109,120","2,780",440.000,Einzelhandel,Brian C. Cornell
91.,AXA,Paris,Frankreich Frankreich,"109,067","7,021",90.433,Versicherungen,Thomas Buberl
92.,SK Hynix,Icheon,Korea Sud Südkorea,"105,959","0,851",124.499,Technologie,Park Sung-wook
93.,Mitsui Group,Tokio,Japan Japan,"105,694","8,553",46.811,Mischkonzern,Tatsuo Yasunaga
94.,Indian Oil Corporation,Neu-Delhi,Indien Indien,"105,349","1,219",32.856,Öl und Gas,Shrikant Madhav Vaidya
95.,Xiamen ITG Holding Group,Xiamen,China Volksrepublik Volksrepublik China,"103,090","0,290",32.856,Mischkonzern,
96.,Itōchū Shōji,Osaka,Japan Japan,"103,029","5,914",133.051,Einzelhandel,Masahiro Okafuji
97.,Dell Technologies,Round Rock,Vereinigte Staaten USA,"102,301","2,442",133.000,Technologie,Michael Dell
98.,Archer Daniels Midland,Chicago,Vereinigte Staaten USA,"101,556","4,340",41.181,Lebensmittel,Juan Luciano
99.,Citigroup,New York City,Vereinigte Staaten USA,"101,078","14,845",238.104,Banken,Jane Fraser
100.,CITIC Group,Peking,China Volksrepublik Volksrepublik China,"100,769","3,904",172.761,Mischkonzern,Chang Zhenming
